"","chromosome","position","p.value.none","p.value.all","p.value.sva","coefficient.none","coefficient.all","coefficient.sva"
"cg02194908","chr16",1276278,0.193475075895167,0.0307636043596196,2.54599294438111e-06,-0.00804696428238885,-0.0135345839737719,-0.0273603244909193
"cg01899089","chr5",369969,4.15787100862135e-08,5.59712997089452e-09,2.71720493420111e-06,-0.0342384124915472,-0.033523031466294,-0.0266733679628715
"cg15331301","chr6",150381200,9.70197740702763e-07,7.91749637900624e-09,3.42101580718242e-06,-0.0233434311777563,-0.025935131199327,-0.0197053472971163
"cg15780361","chr2",202484098,0.123258566248994,0.00839806367084829,3.70731301519719e-06,0.0138077064139601,0.0223941249515348,0.032337808389237
"cg09651136","chr15",72525012,0.0047697547358779,1.7519177298815e-05,3.75220902045288e-06,0.0192722828181713,0.0237098792185071,0.026872167592321
"cg25912037","chr2",173125140,0.302223677448798,0.469659451698907,3.98871394834155e-06,0.00512069233594619,0.00307110704142427,0.0208553720840461
"cg16517298","chr1",230413174,0.000171626020448418,0.00300031689312132,4.17584806017583e-06,-0.0465029998270233,-0.0345949046832306,-0.0453676387600399
"cg22136749","chr12",2041419,0.00271812731963475,7.94889052274337e-05,5.22409074829636e-06,0.0201371782577238,0.0219593233945407,0.0185822171620768
"cg17924476","chr5",323794,1.61797429069831e-06,4.65417475960208e-08,5.35119104722409e-06,0.0405138366240707,0.046721935961784,0.0349611936037697
"cg07339236","chr20",50312490,3.62061380455636e-10,3.2400056291284e-11,5.94940237910794e-06,-0.0285928689863686,-0.0200307218921087,-0.0163961204733194
"cg13578465","chr14",105167457,1.31586677064708e-08,8.53947446119901e-09,6.37900991458148e-06,0.0424250293884918,0.0415845119934402,0.030694398060187
"cg15342087","chr6",30720209,9.45382475723603e-10,9.89951399908187e-11,6.69800685251873e-06,-0.0294653532846235,-0.0296855089280773,-0.0172909236795319
"cg13643006","chr9",5833731,8.98662811649172e-05,1.5839918342584e-05,7.20109329623775e-06,0.0245031582138798,0.0243080061059414,0.0202465389317013
"cg03560424","chr16",891605,0.0117775569928234,0.00121671340972259,7.43181992177244e-06,0.0145359028459456,0.0161215339968628,0.0222280070377713
"cg00073090","chr19",1265879,1.52502368831403e-07,3.39091985470424e-09,9.13156223729974e-06,-0.03070890891068,-0.0265159790941686,-0.0168797243020007
"cg06981781","chr4",110842888,0.0142606584893027,0.0757861087090213,9.42727809418996e-06,0.00882122764870522,0.00629998444330934,0.0145290911080794
"cg10420527","chr11",68138505,0.000813200242503674,0.000121278161115024,9.57659195249186e-06,-0.0171429929905046,-0.0155882298512643,-0.0166181937825526
"cg13869484","chr1",9140563,0.0879391836595162,0.000139291069557552,9.70131922695659e-06,-0.0206130903180263,-0.0316651339597936,-0.0360819785821443
"cg24859433","chr6",30720203,9.0552816305499e-12,4.2106680515698e-11,1.06269288094332e-05,-0.0336268240866571,-0.0299900546158708,-0.0197967670407562
"cg04716530","chr16",30485684,0.387066151505709,4.95960763252502e-05,1.07081221140615e-05,-0.006742185790562,-0.0175893641642662,-0.0175708016796597
"cg00356645","chr6",170594229,0.0142979589200143,0.40156915380054,1.080418633535e-05,0.0117991122051485,0.0032184194218537,0.0131035708609548
"cg18302606","chr19",39904402,0.625439284917601,0.539238550535269,1.12724025698834e-05,-0.00336269053705223,0.00379451156361221,0.0202009156839914
"cg26972389","chr5",169407753,0.00185974281213756,0.000122048711708387,1.15726742586237e-05,0.0179860483896509,0.0211889932240893,0.0238552034356016
"cg23667432","chr2",233244439,0.004930807164966,1.78381653358036e-08,1.15774458803882e-05,-0.0195649346688352,-0.0273843289117119,-0.0202366930329246
"cg17393635","chr19",49843565,0.00973869594087532,0.00124976677839892,1.25714414870766e-05,-0.0152713244521136,-0.0197510811613816,-0.0222704307908467
"cg07090714","chr6",6857062,4.7773040590891e-11,1.67716408998157e-09,1.39137862262112e-05,-0.0379004292239311,-0.0304046346722137,-0.0273683723070991
"cg03764062","chr11",64008174,0.681053709280617,0.895127760851134,1.45153326145974e-05,-0.00123595483084766,0.00036384140037801,0.00754132117726132
"cg15704699","chr17",26439377,0.000142113675020615,0.000983344443784641,1.45363641371088e-05,0.027013819037888,0.018116442172214,0.0244525087700383
"cg05566582","chr7",157257942,0.144817844385382,0.0697382482585888,1.50401879785244e-05,-0.0143016613343734,-0.017966613331462,-0.0455520258883237
"cg17466510","chr1",116877566,0.151644648866443,0.00117909891682965,1.50419547609277e-05,0.00984470093217513,0.0163822617201706,0.0233693703777326
"cg11660018","chr11",86510915,2.43419284147503e-08,4.51294001566703e-07,1.52020405175731e-05,-0.0384623297435784,-0.0286360111678473,-0.0205538163294619
"cg04180046","chr7",45002736,1.23147937667625e-05,2.56049476385061e-06,1.57017026050548e-05,0.0574261529804079,0.0549630583175519,0.0448360571861109
"cg27655954","chr8",10753160,0.00232142504760281,0.0105974433869898,1.64108484734949e-05,0.0150119844675925,0.00885885232427319,0.0140411184267719
"cg19089201","chr7",45002287,7.27930582130954e-05,0.000226399741812168,1.74429595668967e-05,0.0470904404674163,0.0404106090673479,0.0403593114298149
"cg24023489","chr8",103129227,0.000239198801838404,4.83722682550002e-09,1.7619496263038e-05,-0.0427032208316359,-0.0344490421927544,-0.0259806127041509
"cg02270010","chr5",175958651,4.58961701905708e-06,3.57833320285252e-07,1.80688336625105e-05,-0.0319850068055657,-0.0264890837242444,-0.021957451551156
"cg21869609","chr19",2291613,0.00038638356946028,0.000236518699733812,1.91848982903528e-05,-0.0466989629952278,-0.0486663211265218,-0.0463790105655899
"cg10190813","chr7",48018530,6.05207120688419e-06,2.33663287757084e-05,2.02706734560362e-05,-0.0115670936733342,-0.0106064727452513,-0.00951113364875988
"cg16237191","chr12",55945613,0.034498385862878,0.060527627045751,2.05586315272227e-05,0.017400748220713,0.011496866133001,0.0213886167387894
"cg21200408","chr20",21378211,0.189465258846784,0.000506997430666202,2.08885338914009e-05,0.00548467845336848,0.00997072668034028,0.0106364585033464
"cg16359657","chr1",41119931,0.00159670463592912,0.000309359551400385,2.14458981162696e-05,-0.0308839850424459,-0.0298785648967987,-0.039015077763498
"cg09728607","chr16",51190065,0.01977581251118,0.0567161439249494,2.20087191456587e-05,-0.000827534451763479,-0.000647109490481643,-0.00160918446245387
"cg08709672","chr1",206224334,4.34397666193768e-08,6.91213727814373e-09,2.34136481319066e-05,-0.027910962897653,-0.0244234012227948,-0.016767565454785
"cg25189904","chr1",68299493,1.7516278975354e-16,1.76934557867911e-12,2.42934937548094e-05,-0.0956881880152129,-0.0859453324644389,-0.0510353517690569
"cg07902156","chr5",1495284,0.0130330729778839,0.0173872320063475,2.45303225093124e-05,-0.0175226067560383,-0.0118317154654367,-0.0221605778231862
"cg23082877","chr19",49243427,0.774775976254347,0.0457160993666991,2.46666695299e-05,-0.00178480829515112,0.00827883413523801,0.013645110767307
"cg21033494","chr10",51550114,0.152179987105957,2.96517307650478e-06,2.49607126242748e-05,-0.00419830037192306,-0.0104787391730358,-0.00907549878884246
"cg05655806","chr3",111260756,0.00143066524972893,3.75169211493182e-05,2.80809476232471e-05,-0.0447990787907938,-0.0478327447039124,-0.0456353985513295
"cg25949550","chr7",145814306,1.0943593450442e-13,1.03679878776771e-14,2.82253763043661e-05,-0.0335727175421025,-0.0278259380725761,-0.0115236887280225
"cg06688763","chr7",92238207,0.0159533510391434,0.000279228402691788,2.91423890790996e-05,0.0376029048458142,0.0509022888908024,0.0534155054962007
"cg25648203","chr5",395444,9.1079310313407e-18,4.89322403809901e-15,2.91795004320179e-05,-0.051573661000669,-0.0515397403554809,-0.0240327680302855
"cg11730703","chr14",105167607,6.74144706352491e-05,3.22548034433392e-06,3.08157177473657e-05,0.0249956785205934,0.0269870161410913,0.0227965972988857
"cg03930577","chr7",76749431,5.0248645066188e-06,0.000315264167339738,3.11711419267982e-05,0.010825975644467,0.00981954114939721,0.00836408512386277
"cg17038235","chr5",172370524,0.00117168277943105,7.36981238851327e-09,3.1193639142266e-05,0.0262048704862579,0.0323693434893978,0.0189984707617176
"cg11978634","chr13",43971194,0.000172813456310235,4.16705388009514e-05,3.17657487253492e-05,0.0244399315346176,0.0240979082572686,0.0214207871777404
"cg04914290","chr16",88845204,0.000308521287752698,8.11708884987988e-05,3.4938721400072e-05,-0.0144603062624858,-0.0156583487486444,-0.0185594025584373
"cg05284742","chr14",93552128,5.05156729256035e-09,2.55260025709857e-13,3.67585625479887e-05,-0.0344895801382652,-0.0306638113648807,-0.0162772594051714
"cg26360924","chr1",118793005,0.779714135380305,0.255409798918625,3.91812704514619e-05,-0.00210559279136417,-0.00732609031101892,0.0198176808893142
"cg10800833","chr4",57521657,0.000364231230841841,0.000193048697500274,3.95654945642026e-05,0.00904146530949086,0.0095233245669546,0.00975073358624273
"cg04871807","chr5",95186505,7.66699065780791e-05,8.17455522324334e-06,4.09047109618322e-05,-0.0236062225812585,-0.0238782204120986,-0.026907424925122
"cg03539970","chr1",184544165,3.02891374114757e-05,3.41319701480249e-05,4.09161797305335e-05,0.00810291954999585,0.00800169530928226,0.00602790231299036
"cg19006378","chr11",31829297,0.72081492587626,0.833147685060139,4.10076151054528e-05,-0.000882651364013487,0.000478825636732252,0.00639990635646856
"cg11342534","chr11",2211039,0.081517765254461,0.00375030065380109,4.455095980162e-05,-0.00238294609391407,-0.00374320809396717,-0.00646349426513385
"cg27232360","chr11",45628269,0.00202407052139618,0.0540641615769093,4.47569655388515e-05,-0.0155550157371281,-0.00842274219440903,-0.0143920770498868
"cg09109520","chr16",57673258,0.00514005359280881,6.32587254147098e-07,5.14622653983914e-05,0.021780487131719,0.0325146086804522,0.0179112968913817
"cg02272968","chr6",32015773,0.917494402172728,0.94273233457922,5.16098308931332e-05,0.000810408130361674,-0.000622020828743523,0.032010266465724
"cg13986840","chr7",130132453,0.000496834911686842,0.00564694884200582,5.23342443494805e-05,-0.0307436220351336,-0.0264953944174675,-0.0386668457498336
"cg09935388","chr1",92947588,1.03021311164866e-17,2.72780758854605e-22,5.31709273119753e-05,-0.117898083854478,-0.116154226608215,-0.0466922241653646
"cg20837332","chr11",65362891,0.10156926805795,0.0706519134966316,5.58862633335927e-05,0.00611696024922062,0.007289355034828,0.015070959021536
"cg14183922","chr17",75371532,0.0572509140346498,0.00760866522463735,5.67820749009191e-05,-0.00919486217070231,-0.0097500881710549,-0.0145752999088338
"cg00385925","chr16",3095538,1.33026828561326e-07,4.70561094235849e-06,5.92437728997705e-05,-0.0102111089453277,-0.00893144456937553,-0.00597838480876441
"cg05073843","chr20",645199,0.991426711128196,0.0459417289467943,5.96819924732173e-05,-4.47815845492172e-05,0.00661366110521649,0.00940794324840245
"cg11429111","chr5",134813329,0.00303558652840412,0.00493338301112682,6.46599234433001e-05,0.0234890420177735,0.0207651484366391,0.0307512274737387
"cg11124847","chr4",68930433,7.98146604293682e-05,0.00281712463094951,6.50568936324048e-05,0.0108685908870987,0.00813304615120834,0.00884108217078946
"cg11130692","chr8",141643919,4.12897958697111e-05,3.16620017473175e-05,6.50850616256174e-05,-0.0194186644107686,-0.0175665414131871,-0.016369976657293
"cg14989316","chr10",80757927,0.0614865017189364,0.00159650261712701,6.58961906839167e-05,-0.00731867858074312,-0.00770788325214903,-0.00782223575172184
"cg21845869","chr8",1779818,0.000326271383131377,0.00479893489512617,6.67335918417298e-05,0.0101861947569762,0.00850187919045836,0.0107247657204204
"cg13038618","chr14",77467391,6.31491904977433e-06,3.67201922612965e-06,6.74423341201057e-05,-0.0335883170833537,-0.0245216312824225,-0.020428242875841
"cg16367989","chr22",50609333,0.0044014987527716,0.0550769176081341,6.90486229823422e-05,-0.00829754221526472,-0.00392148659215938,-0.00821293817734097
"cg21230547","chr12",866289,0.000675885589805656,2.05043863383926e-05,6.94454564004964e-05,-0.0294992993176925,-0.0349818690284356,-0.0263167036399443
"cg12075928","chr8",141801307,2.27358781463469e-07,3.83367260512373e-11,6.96604242409703e-05,-0.0591498612297577,-0.059121738914338,-0.0368825879256891
"cg03316864","chr19",17906309,0.167143248901464,0.861972854478165,6.99221753612039e-05,-0.00693418165207479,0.000819015544313013,0.0151977593384987
"cg18468844","chr1",28503720,0.255290709311816,0.914161165164116,7.27570992292778e-05,-0.00892115968175095,-0.000681807435342379,0.0201627578862957
"cg14337844","chr14",99740585,0.0412801111607244,0.0410909424366722,7.32979497151017e-05,0.00686303822700748,0.00643107114552276,0.0122325477205144
"cg23594345","chr14",106329607,3.5734902163252e-06,6.67577279468412e-09,7.58965929342942e-05,-0.0785353554440152,-0.0646138847989947,-0.0564227519693868
"cg20430496","chr10",92484088,0.00037410383938623,0.00143383198375819,7.64101116958869e-05,0.00707632549726329,0.00654749552018014,0.00629093726975145
"cg04931539","chr20",62078522,0.654849820348355,0.551489393831235,7.67153311375377e-05,0.00468976408502953,-0.00513163494951127,0.0285043760538431
"cg08549335","chr7",30387954,0.00140118346554172,3.23373340622306e-06,8.03553548690698e-05,-0.0336768830320437,-0.0407446403593258,-0.0361819636822607
"cg22727233","chr6",31688428,0.0164325684412857,0.00392550617418167,8.19816312782672e-05,-0.0231098341088386,-0.0208559814060786,-0.0307752774040327
"cg27337803","chr16",29937932,0.0270172570285559,0.0353795741898631,8.27138078582099e-05,0.00958994470240445,0.00978182417260609,0.0119601118509562
"cg01952185","chr5",134813213,0.00121256045073235,0.00200304964692824,8.5261509197698e-05,0.0246346503793551,0.0248813491238118,0.0280653446070292
"cg23480021","chr3",22412746,6.35590373004226e-07,4.97437570992198e-10,8.54088869138163e-05,0.0893158133524236,0.0966132263455105,0.0586673021280951
"cg06972908","chr16",30488321,0.000354739312889602,3.22672724836989e-06,8.56982488136928e-05,-0.0225962846523281,-0.0229950575893104,-0.0155361644962874
"cg27286011","chr14",105167574,1.02490695959874e-06,7.22114331266315e-09,8.6099982387234e-05,0.0334073944921283,0.0339790794473576,0.0206306483142954
"cg25748521","chr7",139366758,0.13967283344965,4.8802223134997e-08,8.70262517967835e-05,-0.0078315573329156,-0.0182480364663423,-0.0121062395063071
"cg04031093","chr1",233027124,0.00288967519450736,0.00309570085839806,8.71308806352074e-05,-0.0310216686327401,-0.0215017018992803,-0.0299321047076091
"cg07251887","chr17",73641809,6.45567318203371e-08,1.2448888980341e-09,8.91372275899323e-05,-0.0402188978753108,-0.0282801647122347,-0.0164866146380285
"cg27550918","chr10",75410777,0.0417294743252905,0.18588294287274,8.92376105759585e-05,0.00583952196323622,0.0029979434012943,-0.00734991801459136
"cg15157403","chr1",234880737,0.0756026165651474,0.0101008995511914,8.9285920785656e-05,-0.0106218086505722,-0.0163684792949491,-0.0196736690366819
"cg21322436","chr7",145812842,6.62243852387185e-08,1.68735654903356e-09,9.08489953079921e-05,-0.0455636037471163,-0.0360723440733934,-0.0248828690934337
"cg11207763","chr11",69517471,0.0455164443632951,0.000275665612956043,9.66726908517546e-05,0.00493831855589476,0.00836439867006727,0.0082326136886614
"cg09183181","chr10",70320734,3.63793968762208e-05,0.000304953808602483,9.9522437292557e-05,0.0123672843057255,0.0107179787618263,0.010448849599447
"cg01735398","chr17",18907305,0.18811062201875,0.702876236858559,0.000101507401710876,-0.00967341998373454,0.00216905782193021,0.02184561976702
"cg02720442","chr12",125423824,0.00932454496542836,0.0728090070510115,0.000103056475952179,-0.00226444422125446,-0.00168033256567713,-0.00307611280509139
"cg21388527","chr3",96532024,0.933313032192431,0.252554029656802,0.000103466615599976,-4.05271809295281e-05,0.000563701844926135,0.00189137262209021
"cg16391678","chr16",30485597,0.361670718156744,1.10807388209706e-08,0.000105252855566621,-0.00737588600379308,-0.0224012813654717,-0.0140134716649855
"cg17340338","chr17",42201207,0.8103599160255,0.568130043122446,0.000108533645271321,-0.0002034320797519,-0.000500667913348298,0.00275849084978945
"cg20846192","chr7",43012776,0.000236436843292187,0.000170623952690655,0.0001088602989761,0.00913284041006028,0.00945905409463329,0.00982373737578067
"cg24262469","chr3",156391694,0.212797097871387,0.119488965337487,0.000109977265566081,0.00704744570214414,0.0071742906793462,0.0155632026570109
"cg07514207","chr2",227656261,0.000920704607750397,0.00161359663298638,0.000110898086342112,-0.00234411716911905,-0.00216726979104171,-0.00304505823222324
"cg08141659","chr13",113622633,0.412011185829184,0.0598934982679189,0.000115730655870645,0.00378074043138483,0.00878436596975612,0.014326097670602
"cg01836137","chr14",105167300,1.42900627497453e-05,7.45382506997414e-08,0.000117998279298928,0.0259010510670203,0.0268526268447626,0.0176266592403808
"cg04258133","chr11",1953661,0.000645815927793171,0.000748997858664963,0.000119910577667019,0.0161304474373034,0.0178100821157769,0.0157395879559683
"cg02549890","chr2",202916133,1.64878005811242e-06,0.000243697776897536,0.000125238369530154,0.0088067122749546,0.00663574826214569,0.00657081301512861
"cg16348158","chr1",3036916,0.0739261882234493,0.00736898435798173,0.000131122718687097,0.01506501149251,0.0157789301304526,0.0191118740925891
"cg26251585","chr7",11456440,0.199893140806045,4.46272715295663e-05,0.000131629394920534,-0.0126377301396029,-0.0269837659079476,-0.0218702557614678
"cg10018233","chr7",150070692,0.00298714444166483,0.006624989678296,0.000132298789862341,-0.0266332540591727,-0.0260983983272491,-0.0360640671087712
"cg05460226","chr17",8804279,4.25798839944017e-06,0.000256377649703253,0.000134662990177276,-0.0408198575478522,-0.0228344682607456,-0.0218459819914785
"cg21747070","chr5",957535,0.0254340129888895,3.02241435832103e-05,0.000135344387005354,-0.0139550191514486,-0.019881779154752,-0.0203401807299577
"cg15474579","chr6",36645812,3.01234517462603e-05,2.10108065273631e-05,0.000138044492493633,-0.0347122119191471,-0.0253974787109356,-0.0201021769275696
"cg26346930","chr5",54502962,0.169573013442109,0.0386036371569823,0.000139496531440987,-0.0052091033915796,-0.00631107253072376,-0.0149315670071078
"cg04189727","chr11",64875106,7.70880414219733e-05,0.000587951706837386,0.00014041713293609,0.00759398285998304,0.00636730244247913,0.00767097074598746
"cg16891318","chr18",72201590,0.60618136910408,0.327980555730514,0.00014083798519048,0.00153861082931399,-0.00261777979667678,-0.00836912035243219
"cg07833467","chr22",50986511,0.0302938124180921,0.00144342329255082,0.000141599348056611,0.0199783156900609,0.0289205372610626,0.0361079699035871
"cg10512203","chr1",40780905,0.443739618379749,0.92734489366259,0.000142983641630905,-0.0048336744259247,0.000545146102151205,0.0171889048010906
"cg05713794","chr3",194119861,4.86243280405798e-05,8.95717271056508e-08,0.000146452136289168,0.0143443514017898,0.0155394063364263,0.0102163599021302
"cg01294327","chr19",2291373,0.000616520086437655,0.000452022430356106,0.000146539842599266,-0.0458665636523421,-0.0443922478113212,-0.0401639521981309
"cg06647782","chr1",16539671,0.00464139069716635,9.35657383486726e-05,0.00014690232604041,-0.0398522097600184,-0.0495103628693657,-0.0505253855550347
"cg09837977","chr7",110731201,7.49003197306632e-05,1.79111382349522e-06,0.000147537529263982,-0.0241553475185839,-0.0159832399569296,-0.0121044230870669
"cg13172637","chr14",97685823,0.0247284463168584,0.195020435217353,0.000149991005213992,-0.00331177910309022,-0.00214939206642821,-0.00408652804410124
"cg20902757","chr8",67454892,0.00636585710692501,0.00800662127159768,0.000151428620673024,-0.0223836200221375,-0.0178176767354501,-0.0253378078870261
"cg11666555","chr2",220313972,0.000249916963357202,0.0366631284699663,0.000153741358342412,-0.0166861786208883,-0.00737436305993208,-0.0120769262944182
"cg19406914","chr19",5789520,0.781634260258358,0.281668046994983,0.000155891716999111,0.000601946174929186,-0.00207442846692857,-0.00755453628139489
"cg16737267","chr4",169765205,0.000870493170335554,0.00321676048427676,0.000156748875340408,0.00383214463531743,0.00349261632922417,0.00429497760983263
"cg01765406","chr2",129231478,0.00016526976187934,0.000676928682834235,0.000157348853734136,-0.0256646223750973,-0.0157236804556621,-0.0175278515969694
"cg12181459","chr10",8098328,0.0106583365914299,0.0166351955113308,0.000160751989844128,-0.0195924913286977,-0.0186703770821848,-0.0259287478074478
"cg14482292","chr2",132384714,0.0743164534991247,0.218655412487762,0.000161861659693872,0.00469658607234588,0.0034242644768778,0.00904834102611369
"cg07177756","chr1",173836307,0.00442906752380591,0.000343778940763429,0.000164398216387755,-0.0180265897307805,-0.0209300145183462,-0.0218709592368101
"cg05642264","chr7",4169314,0.0168720210674771,0.00229469857796793,0.000166066017451926,0.025703951274799,0.0312143347948379,0.0398054801913736
"cg01763916","chr1",40849202,2.56868608309034e-06,3.47502801476575e-16,0.000167024029760097,-0.0494646616797225,-0.0405480763476692,-0.0190396426417448
"cg27113347","chr16",89760585,0.000257686910394126,0.0018632330240721,0.000171509962588737,0.0260808998423266,0.0184596640040647,0.0203782607356948
"cg15301794","chr11",31822243,0.49429146062022,0.242282814137887,0.000173675761654815,0.00338783250434818,0.00571365322997138,0.0168020286909202
"cg04904654","chr16",28075596,0.0754971289454999,0.0616781279316492,0.000174385774787153,0.00614056190517562,0.00651579364994597,0.0138640875015942
"cg13420364","chr1",234857659,0.00125486222330192,0.00826928530477731,0.000183950117387391,-0.0224444370972356,-0.0109269390728893,-0.0133071503425814
